alias,ticker,exclude,note
삼전,005930,,약칭
하이닉스,000660,,SK 생략 표기
하닉,000660,,약칭
현대자동차,005380,,정식 풀네임
현차,005380,,약칭
현대차,005380,현대차증권,정식명 위양성 가드(현대차증권은 별도 상장사)
LG엔솔,373220,,약칭
엔솔,373220,,약칭
LGES,373220,,영문 약칭
두산중공업,034020,,2022년 사명 변경 전 이름
두산에너,034020,,약칭
한화에어로,012450,,약칭
KB금융지주,105560,,풀네임
기아차,000270,,구 표기
기아자동차,000270,,구 정식명
신한금융지주,055550,,풀네임
신한금융,055550,,약칭
셀트,068270,,약칭
모비스,012330,,약칭
포스코홀딩스,005490,,한글 표기(정식명은 POSCO홀딩스)
포스코,005490,포스코퓨처엠|포스코인터내셔널|포스코DX|포스코이앤씨|포스코스틸리온,그룹 대표 지칭 — 타 계열사 언급 시 제외
미래에셋,006800,미래에셋자산운용|자산운용,증권 지칭 — 운용사 언급 제외
네이버,035420,,한글 표기(정식명은 NAVER)
한국조선해양,009540,,HD 생략 표기
SK이노,096770,,약칭
카카오,035720,카카오뱅크|카카오페이|카카오게임즈|카카오모빌리티,정식명 위양성 가드(별도 상장 계열사)
SKT,017670,,영문 약칭
현대건설,000720,현대건설기계,정식명 위양성 가드(현대건설기계는 별도 상장사)
아모레,090430,아모레G,약칭 — 지주사(아모레G) 언급 제외
LGD,034220,,영문 약칭
엘지디스플레이,034220,,한글 표기
SDI,006400,,증권사 사용례 확인(삼성증권 2021-02-01 보고서) + 텔레그램 표본 5건 오탐 0 — 허용
